Model,Price,Rating,Inches,RAM_GB,SSD_GB,Storage_Detail,Screen_Width,Screen_Height,Screen_Resolution_Type,CPU_Detail,GPU_Detail,OS_Detail,Price_Category
Lenovo ThinkBook 15 G5 21JF002JIN Laptop (AMD Ryzen 3 7330U/ 8 GB/ 512 GB SSD/ Win11),33600.0,62.0,15.6,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,7th Gen AMD Ryzen 3 7330U,AMD Radeon AMD,Windows 11 OS,0
Zebronics Pro Series Z ZEB-NBC 3S 2023 Laptop (12th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home),27990.0,61.0,15.6,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i3 1215U,Intel Integrated,Windows 11 OS,0
Asus TUF Gaming F15 FX506HE-HN385WS Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),79899.0,71.0,15.6,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,11th Gen Intel Core i7 11800H,4 GB NVIDIA GeForce RTX 3050 Ti,Windows 11 OS,1
Acer Nitro V ANV15-51 2023 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),77990.0,59.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i5 13420H,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,1
Lenovo LOQ 15IRH8 82XV00F4IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),59990.0,64.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i5 12450H,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,1
Asus Vivobook 16X 2023 K3605ZU-MB741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),86990.0,72.0,16.0,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i7 12650H,6 GB NVIDIA Geforce RTX 4050,Windows 11 OS,2
HP 255 G9 840T7PA Laptop (AMD Athlon Silver-3050U/ 4GB/ 256GB SSD/ DOS),19979.0,61.5,15.6,4.0,256.0,256 GB SSD,0.0,0.0,Non-IPS,3rd Gen AMD Athlon 3050U,AMD Integrated,DOS OS,0
Asus TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop (12th Gen Core i7/ 16GB/512GB SSD/ Win11 Home/ 8GB Graph),99990.0,74.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i7 12700H,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,2
HP Omen 16-n0123AX Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),112990.0,73.0,16.1,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,6th Gen AMD Ryzen 7  6800H,8 GB NVIDIA GeForce RTX 3070 Ti,Windows 11 OS,2
Dell Inspiron 5420 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),69999.0,62.0,14.0,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i5 1240P,Intel Integrated UHD,Windows 11 OS,1
Asus TUF Gaming F15 FX506HC-HN362WS Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),59990.0,66.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,11th Gen Intel Core i5 11400H,4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,1
Samsung Galaxy Book2 Pro 360 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),72990.0,63.0,13.3,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i5 1240P,Intel Iris Xe Graphics,Windows 11 OS,1
Samsung Galaxy Book 4 NP750XGK-KS1IN Laptop (Intel Core 5 Processor 120U/ 8GB/ 512GB SSD/ Win11),70990.0,53.0,15.6,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,Intel Core 5 Processor Series 1 120U,Intel Graphics,Windows 11 OS,1
Asus Vivobook 15 2024 X1504VAP-NJ542WS Laptop (Intel Core 5 Processor 120U/ 16GB/ 512GB SSD/ Win11),67990.0,55.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,Intel Core 5 Processor Series 1 120U,Integrated Intel Graphics,Windows 11 OS,1
HP Pavilion 15-eh3109AU Laptop (AMD Ryzen 7 7730U/ 16GB/ 1TB SSD/ Win11 Home),69990.0,64.0,15.6,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,7th Gen AMD Ryzen 7 7730U,AMD Radeon Vega 8 Graphics,Windows 11 OS,1
Lenovo IdeaPad Slim 5 ‎16IMH9 83DC0042IN Laptop (Intel Core Ultra 5/ 16 GB RAM/ 1TB SSD/ Win 11),75990.0,61.5,16.0,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,Intel Core Ultra 5 Series 1 125H,Intel Arc Graphics,Windows 11 OS,1
HP Envy x360 14-fa0052AU Laptop (AMD Ryzen 7 8840HS/ 16GB/ 512GB SSD/ Win11),96990.0,69.0,14.0,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,8th Gen AMD Ryzen 7 8840HS,AMD Radeon Graphics,Windows 11 OS,2
Asus ROG Strix SCAR 16 2024 G634JYR-RA001WS Gaming Laptop (14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 16GB Graph),329990.0,61.5,16.0,32.0,2048.0,2 TB SSD,0.0,0.0,Non-IPS,14th Gen Intel Core i9 14900HX,16 GB NVIDIA GeForce RTX 4090,Windows 11 OS,2
Lenovo ThinkBook 15 G5 20VG0008UK Laptop (AMD Ryzen 7 7730U/ 16GB/ 512 GB SSD/ Win11),49990.0,65.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,7th Gen AMD Ryzen 7 7730U,AMD Radeon AMD,Windows 11 OS,1
HP Spectre x360 14-ef2035TU Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win11 Home),146990.0,72.0,13.5,32.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i7 1355U,Intel Iris Xe Graphics,Windows 11 OS,2
HP Omen 14-fb0007TX Gaming Laptop (Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),174999.0,77.0,14.0,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,Intel Core Ultra 7 Series 1 155H,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,2
Lenovo IdeaPad Slim 3 83EQ0044IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),55390.0,57.0,14.0,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i5 12450H,Intel Integrated UHD Graphics,Windows 11 OS,1
Honor MagicBook X16 2024 ‎Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),46990.0,54.0,16.0,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i5 12450H,Intel UHD Graphics,Windows 11 OS,1
HP Omen 16-xf0081AX Gaming Laptop (AMD Ryzen 7 7840HS/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),135999.0,61.5,16.0,32.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,7th Gen AMD Ryzen 7 7840HS,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,2
Acer Aspire Lite 15 AL15-52 Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11),34880.0,56.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i3 1215U,Intel UHD Graphics,Windows 11 OS,0
